task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
92	e2/eb45e4	257272	kraken_pipeline:progressive_stats (10)	COMPLETED	0	2023-09-25 06:09:14.330	17.1s	15s	101.0%	407.6 MB	2.4 GB	44.1 MB	25 MB
93	10/25b3dd	260792	kraken_pipeline:output (8)	COMPLETED	0	2023-09-25 06:09:31.231	1.4s	12ms	50.0%	0	0	55.7 KB	201 B
90	aa/d9f3b4	256779	kraken_pipeline:progressive_bracken (7)	COMPLETED	0	2023-09-25 06:09:12.857	28.8s	27.7s	113.1%	414 MB	2.4 GB	458.2 MB	25 MB
42	7f/30aff2	256984	kraken_pipeline:kraken2_client (11)	COMPLETED	0	2023-09-25 06:09:13.314	35s	34.4s	74.2%	414.4 MB	2.4 GB	169.3 MB	38.7 MB
94	63/07446d	261416	kraken_pipeline:makeReport (7)	COMPLETED	0	2023-09-25 06:09:42.716	17.1s	15.7s	99.4%	418.5 MB	2.4 GB	46 MB	27 MB
98	5b/c0f8a5	265362	kraken_pipeline:output (9)	COMPLETED	0	2023-09-25 06:10:00.876	982ms	8ms	76.2%	0	0	55.7 KB	201 B
43	b5/55ce36	262321	kraken_pipeline:kraken2_client (12)	COMPLETED	0	2023-09-25 06:09:48.300	15s	14.5s	105.6%	415 MB	2.4 GB	44.1 MB	24.9 MB
96	2d/f692f2	262570	kraken_pipeline:progressive_stats (11)	COMPLETED	0	2023-09-25 06:09:49.313	15.7s	14.3s	100.8%	411.7 MB	2.4 GB	44.1 MB	25 MB
97	ca/c39077	262581	kraken_pipeline:progressive_kraken_reports (11)	COMPLETED	0	2023-09-25 06:09:49.328	15.9s	14.3s	100.7%	410.2 MB	2.4 GB	44.1 MB	24.9 MB
95	54/9220ee	261427	kraken_pipeline:progressive_bracken (8)	COMPLETED	0	2023-09-25 06:09:42.731	27.8s	26.5s	112.6%	438 MB	2.4 GB	454.2 MB	24.9 MB
44	40/31c4ac	265643	kraken_pipeline:kraken2_client (13)	COMPLETED	0	2023-09-25 06:10:03.305	15s	14.5s	104.5%	406.7 MB	2.4 GB	44.1 MB	24.9 MB
99	7e/cd1b65	265978	kraken_pipeline:progressive_stats (12)	COMPLETED	0	2023-09-25 06:10:05.227	15.2s	14s	106.3%	417.6 MB	2.4 GB	44.1 MB	25 MB
100	5b/e7fc7c	266203	kraken_pipeline:progressive_kraken_reports (12)	COMPLETED	0	2023-09-25 06:10:06.246	15.2s	14.1s	105.4%	417.7 MB	2.4 GB	44.1 MB	24.9 MB
101	a1/62169b	267286	kraken_pipeline:makeReport (8)	COMPLETED	0	2023-09-25 06:10:11.569	17s	15.9s	103.8%	421.3 MB	2.4 GB	46 MB	27.1 MB
105	f0/0b66af	271701	kraken_pipeline:output (10)	COMPLETED	0	2023-09-25 06:10:29.627	968ms	10ms	69.6%	1008 KB	3.8 MB	55.7 KB	201 B
103	dd/b4fb1a	269738	kraken_pipeline:progressive_stats (13)	COMPLETED	0	2023-09-25 06:10:21.437	16s	14.9s	105.5%	412.3 MB	2.4 GB	44.1 MB	25 MB
104	6e/f9ffcf	270118	kraken_pipeline:progressive_kraken_reports (13)	COMPLETED	0	2023-09-25 06:10:22.452	16.1s	15.1s	104.8%	409.7 MB	2.4 GB	44.1 MB	24.9 MB
102	7e/77abe8	267293	kraken_pipeline:progressive_bracken (9)	COMPLETED	0	2023-09-25 06:10:11.582	28.9s	27.6s	112.3%	406.8 MB	2.4 GB	454.2 MB	24.9 MB
45	98/a67ede	269118	kraken_pipeline:kraken2_client (14)	COMPLETED	0	2023-09-25 06:10:18.368	29.6s	29s	66.7%	413.6 MB	2.4 GB	86.5 MB	28.2 MB
106	b5/78423f	272735	kraken_pipeline:makeReport (9)	COMPLETED	0	2023-09-25 06:10:41.493	16.7s	15.4s	106.9%	416.4 MB	2.4 GB	46 MB	27.1 MB
110	93/42e25b	276650	kraken_pipeline:output (11)	COMPLETED	0	2023-09-25 06:10:59.241	1.1s	9ms	72.7%	1.1 MB	3.8 MB	55.7 KB	201 B
