task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	8c/39d12b	141675	kraken_pipeline:progressive_kraken_reports (10)	COMPLETED	0	2023-09-25 04:13:30.949	16.2s	14.5s	105.2%	419.2 MB	2.4 GB	44.1 MB	24.9 MB
93	f0/f048a9	144823	kraken_pipeline:progressive_stats (11)	COMPLETED	0	2023-09-25 04:13:47.180	17.1s	15.6s	105.3%	412.2 MB	2.4 GB	44.1 MB	25 MB
91	d6/e80bbe	144327	kraken_pipeline:makeReport (6)	COMPLETED	0	2023-09-25 04:13:45.683	19.4s	17.9s	104.8%	410.4 MB	2.4 GB	46 MB	27 MB
94	f8/eef619	145169	kraken_pipeline:progressive_kraken_reports (11)	COMPLETED	0	2023-09-25 04:13:48.201	17.2s	16.1s	105.0%	409.9 MB	2.4 GB	44.1 MB	24.9 MB
95	80/23b4a0	148420	kraken_pipeline:output (8)	COMPLETED	0	2023-09-25 04:14:05.444	1.2s	8ms	64.0%	1.1 MB	3.8 MB	55.7 KB	201 B
92	9b/41798f	144337	kraken_pipeline:progressive_bracken (7)	COMPLETED	0	2023-09-25 04:13:45.698	31s	29.2s	113.7%	404.5 MB	2.4 GB	458.3 MB	25.1 MB
43	73/fa9834	144028	kraken_pipeline:kraken2_client (12)	COMPLETED	0	2023-09-25 04:13:43.737	49.5s	49s	53.0%	403.6 MB	2.4 GB	137.8 MB	33.7 MB
96	7b/98a837	148980	kraken_pipeline:makeReport (7)	COMPLETED	0	2023-09-25 04:14:17.683	17s	15.7s	102.5%	409.4 MB	2.4 GB	46 MB	27.4 MB
100	26/38a0e4	151551	kraken_pipeline:output (9)	COMPLETED	0	2023-09-25 04:14:35.739	1.1s	9ms	66.7%	1008 KB	3.8 MB	55.7 KB	201 B
97	31/5284ce	148991	kraken_pipeline:progressive_bracken (8)	COMPLETED	0	2023-09-25 04:14:17.700	27.6s	26.5s	113.7%	710.9 MB	2.4 GB	454.2 MB	24.9 MB
98	4c/1d6c76	151045	kraken_pipeline:progressive_stats (12)	COMPLETED	0	2023-09-25 04:14:34.257	16.9s	15s	104.6%	412.5 MB	2.4 GB	44.1 MB	25 MB
99	95/c60489	151055	kraken_pipeline:progressive_kraken_reports (12)	COMPLETED	0	2023-09-25 04:14:34.275	17s	15.2s	104.7%	417.5 MB	2.4 GB	44.1 MB	24.9 MB
101	d6/697ea1	153532	kraken_pipeline:makeReport (8)	COMPLETED	0	2023-09-25 04:14:46.353	18.2s	17s	104.6%	411.3 MB	2.4 GB	46 MB	27.4 MB
103	e0/aad99a	155639	kraken_pipeline:output (10)	COMPLETED	0	2023-09-25 04:15:05.568	1.1s	9ms	80.0%	1004 KB	3.8 MB	55.7 KB	201 B
44	b1/eb6893	150765	kraken_pipeline:kraken2_client (13)	COMPLETED	0	2023-09-25 04:14:33.242	45s	44.5s	54.0%	418.6 MB	2.4 GB	124.1 MB	32.1 MB
102	6b/ae5e06	153540	kraken_pipeline:progressive_bracken (9)	COMPLETED	0	2023-09-25 04:14:46.368	31.9s	30.7s	113.2%	590.3 MB	2.4 GB	458.2 MB	24.9 MB
45	d2/171e7f	156295	kraken_pipeline:kraken2_client (14)	COMPLETED	0	2023-09-25 04:15:18.282	15.4s	14.7s	106.4%	414.6 MB	2.4 GB	44.1 MB	24.9 MB
104	3a/d40da6	156511	kraken_pipeline:progressive_kraken_reports (13)	COMPLETED	0	2023-09-25 04:15:19.377	16.7s	14.8s	99.8%	418.3 MB	2.4 GB	44.1 MB	24.9 MB
105	5a/da21d8	156450	kraken_pipeline:progressive_stats (13)	COMPLETED	0	2023-09-25 04:15:19.345	17s	14.9s	100.3%	419.6 MB	2.4 GB	44.2 MB	25 MB
106	cb/6aaca7	156438	kraken_pipeline:makeReport (9)	COMPLETED	0	2023-09-25 04:15:19.329	19.8s	18.6s	104.3%	405.2 MB	2.4 GB	46 MB	27.6 MB
110	6f/7e32f1	161335	kraken_pipeline:output (11)	COMPLETED	0	2023-09-25 04:15:40.117	1.1s	9ms	72.7%	1008 KB	3.8 MB	55.7 KB	201 B
107	80/388f42	156469	kraken_pipeline:progressive_bracken (10)	COMPLETED	0	2023-09-25 04:15:19.361	31.5s	29.4s	112.1%	410.6 MB	2.4 GB	454.2 MB	24.9 MB
108	c4/68c6ef	160546	kraken_pipeline:progressive_kraken_reports (14)	COMPLETED	0	2023-09-25 04:15:36.345	17s	15.6s	104.0%	405.4 MB	2.4 GB	44.1 MB	24.9 MB
109	2a/109120	160762	kraken_pipeline:progressive_stats (14)	COMPLETED	0	2023-09-25 04:15:37.364	16.8s	15.5s	104.0%	409.1 MB	2.4 GB	44.2 MB	25 MB
111	cc/4dd5d3	163027	kraken_pipeline:makeReport (10)	COMPLETED	0	2023-09-25 04:15:51.866	19.5s	18.1s	102.8%	404.9 MB	2.4 GB	46 MB	27.6 MB
113	32/22a937	165241	kraken_pipeline:output (12)	COMPLETED	0	2023-09-25 04:16:12.370	1s	7ms	84.2%	0	0	55.7 KB	201 B
46	98/dba811	160042	kraken_pipeline:kraken2_client (15)	COMPLETED	0	2023-09-25 04:15:33.687	43.2s	42.7s	56.8%	406 MB	2.4 GB	127.4 MB	32.6 MB
112	ed/8f64c1	163036	kraken_pipeline:progressive_bracken (11)	COMPLETED	0	2023-09-25 04:15:51.889	27.4s	25.8s	114.8%	497.3 MB	2.4 GB	454.2 MB	24.9 MB
47	ea/1bf254	165617	kraken_pipeline:kraken2_client (16)	COMPLETED	0	2023-09-25 04:16:16.862	15.3s	14.7s	106.3%	421.6 MB	2.4 GB	44.1 MB	24.9 MB
115	76/12a34c	165759	kraken_pipeline:progressive_stats (15)	COMPLETED	0	2023-09-25 04:16:17.876	16.4s	14.7s	102.4%	414.2 MB	2.4 GB	44.2 MB	25 MB
