task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
36	82/e37e7f	508123	process_run:extract_reads:extract_kraken_reads (2)	COMPLETED	0	2023-09-26 01:53:28.459	24.8s	23.8s	69.8%	519.8 MB	2.5 GB	702.3 MB	11.7 MB
48	59/9a3337	510887	process_run:extract_reads:check_reads (2)	COMPLETED	0	2023-09-26 01:53:53.151	1.5s	167ms	56.7%	3.2 MB	5.6 MB	3.6 MB	1.2 MB
49	64/a3dd67	510927	process_run:extract_reads:check_reads (3)	COMPLETED	0	2023-09-26 01:53:53.247	1.6s	214ms	98.3%	3.2 MB	5.6 MB	9.3 MB	3.1 MB
50	6f/004fda	511324	process_run:extract_reads:check_reads (4)	COMPLETED	0	2023-09-26 01:53:54.640	1.4s	131ms	35.6%	3.3 MB	5.6 MB	456.9 KB	143.3 KB
51	87/7c3970	511389	process_run:extract_reads:check_reads (5)	COMPLETED	0	2023-09-26 01:53:54.854	1.8s	128ms	22.6%	3.2 MB	5.6 MB	238.5 KB	48 KB
52	bd/13e0e2	511717	process_run:extract_reads:check_reads (6)	COMPLETED	0	2023-09-26 01:53:56.085	1.6s	239ms	94.1%	3.1 MB	5.6 MB	9.3 MB	3.1 MB
41	75/1a6d89	509380	process_run:extract_reads:extract_kraken_reads (7)	COMPLETED	0	2023-09-26 01:53:38.500	19.3s	18s	67.1%	507 MB	2.5 GB	639.5 MB	3.8 KB
53	f0/bff70b	511813	process_run:extract_reads:check_reads (7)	COMPLETED	0	2023-09-26 01:53:56.657	1.7s	95ms	29.1%	3.2 MB	5.6 MB	86.7 KB	1.1 KB
54	d9/bd32df	512132	process_run:extract_reads:check_reads (8)	COMPLETED	0	2023-09-26 01:53:57.720	1.7s	118ms	33.0%	3.3 MB	5.6 MB	96.6 KB	2.9 KB
56	33/b7bfb4	512274	process_run:extract_reads:check_reads (10)	COMPLETED	0	2023-09-26 01:53:58.405	1.7s	101ms	26.2%	3.3 MB	5.6 MB	86.6 KB	1 KB
55	bb/e448d1	512182	process_run:extract_reads:check_reads (9)	COMPLETED	0	2023-09-26 01:53:57.820	2.4s	239ms	92.7%	3.2 MB	5.6 MB	8.4 MB	2.9 MB
57	d0/f1e2e4	512673	process_run:assemble:subset_references (1)	COMPLETED	0	2023-09-26 01:53:59.437	2.3s	642ms	283.9%	3.2 MB	5.6 MB	5.3 MB	377 B
58	f6/884763	512760	process_run:extract_reads:check_reads (11)	COMPLETED	0	2023-09-26 01:54:00.115	1.9s	286ms	99.1%	3.2 MB	5.6 MB	11.8 MB	3.9 MB
60	61/8f896e	512826	process_run:assemble:subset_references (3)	COMPLETED	0	2023-09-26 01:54:00.242	2.1s	717ms	271.1%	3.2 MB	5.6 MB	5.6 MB	222 B
61	09/0d5f17	513261	process_run:assemble:subset_references (4)	COMPLETED	0	2023-09-26 01:54:01.759	2.1s	881ms	242.0%	3.3 MB	5.6 MB	5.8 MB	104.3 KB
59	d6/72bb8b	513338	process_run:assemble:subset_references (2)	COMPLETED	0	2023-09-26 01:54:02.077	2.4s	922ms	234.4%	3.1 MB	5.6 MB	6.3 MB	1.3 KB
63	87/7f6968	513426	process_run:assemble:subset_references (6)	COMPLETED	0	2023-09-26 01:54:02.355	2.2s	759ms	265.6%	3.2 MB	5.6 MB	5.9 MB	403 B
64	47/146c12	513869	process_run:assemble:subset_references (7)	COMPLETED	0	2023-09-26 01:54:03.880	2.5s	921ms	218.7%	3 MB	5.6 MB	6 MB	104.3 KB
66	2e/9ac77c	514005	process_run:assemble:subset_references (9)	COMPLETED	0	2023-09-26 01:54:04.616	2.2s	748ms	261.4%	3.2 MB	5.6 MB	5.3 MB	222 B
62	99/d04515	513932	process_run:assemble:subset_references (5)	COMPLETED	0	2023-09-26 01:54:04.466	2.7s	1.4s	186.2%	72.5 MB	2.3 GB	7.7 MB	1.3 KB
65	aa/9a4520	514501	process_run:assemble:subset_references (8)	COMPLETED	0	2023-09-26 01:54:06.349	2.2s	644ms	289.9%	3.1 MB	5.6 MB	5.3 MB	377 B
68	dd/3cf824	514664	process_run:assemble:subset_references (11)	COMPLETED	0	2023-09-26 01:54:07.230	2s	617ms	210.9%	3.2 MB	5.6 MB	5.5 MB	1.3 KB
67	34/6c61a1	514600	process_run:assemble:subset_references (10)	COMPLETED	0	2023-09-26 01:54:06.804	2.5s	775ms	162.6%	3.3 MB	5.6 MB	5.8 MB	104.3 KB
70	88/157732	515093	process_run:assemble:subset_references (13)	COMPLETED	0	2023-09-26 01:54:08.609	2.2s	650ms	284.2%	3.3 MB	5.6 MB	5.5 MB	389 B
72	d4/1b490c	515257	process_run:assemble:subset_references (15)	COMPLETED	0	2023-09-26 01:54:09.321	2.5s	705ms	290.3%	3.3 MB	5.6 MB	6 MB	222 B
69	bc/bb53ba	515205	process_run:assemble:subset_references (12)	COMPLETED	0	2023-09-26 01:54:09.206	2.7s	741ms	270.9%	3.2 MB	5.6 MB	5.3 MB	222 B
74	22/d5b553	515912	process_run:extract_reads:check_reads (12)	FAILED	2	2023-09-26 01:54:11.949	1.5s	1.4s	-	-	-	-	-
71	c5/3c8978	515646	process_run:assemble:subset_references (14)	COMPLETED	0	2023-09-26 01:54:10.795	3.1s	1.5s	182.3%	73.6 MB	2.3 GB	7.5 MB	1.3 KB
